I/flutter (24403): {id: 0, hash: 6feaa9afc64c61283321353239fe62edf21b17cfd1eac4f48d6580b0cd23f197, timestamp: 2025-12-04T21:00:50Z, total_received: 59969279000, total_sent: 0, fee: 30720000, unlock_time: 0, height: 3558393, payment_id: 4d36cde641ebd9e9, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}}
I/flutter (24403): {id: 1, hash: e854cf6090e9a8807ba564da1d55cb1c2299e3a43df9620cb8f257a2bc84e161, timestamp: 2025-12-04T21:42:03Z, total_received: 0, total_sent: 59969279000, fee: 0, unlock_time: 0, height: 3558408, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: 171ac2d6f526372871f4431732b770a4b3206a92d94b2b17ca8adec0259a0df1, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 2, hash: bccc6abfd187f0b66a6b42b3af5dc49fbbc716115b017ecd6148b3df97f33e80, timestamp: 2025-12-04T22:01:13Z, total_received: 0, total_sent: 59969279000, fee: 0, unlock_time: 0, height: 3558416, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: 0caede991893197f190604e97e9e1f546b72f3ad262f679b182b91f4a9e26bc4, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 3, hash: ec481cb737189870da6c05f1b10d45bf164481be7c11f68302b0be7101bd0e7e, timestamp: 2025-12-04T22:37:30Z, total_received: 0, total_sent: 59969279000, fee: 0, unlock_time: 0, height: 3558432, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: 986fe1ac715ed8b7b4cd055e506dcbe128265b28c26f0456f352e87fb6378ec7, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 4, hash: d27e80064b6d4eb877dbc0ab82610e55d0356dd05351036416b74b4045d2a6f8, timestamp: 2025-12-04T23:23:26Z, total_received: 0, total_sent: 59969279000, fee: 0, unlock_time: 0, height: 3558456, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: 0c68a20e4b60145c544680abce789b2fc01df8207c12655cd04da417f9a244ca, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 5, hash: 8c92bf98d84677ff2fda05dadc2d89f8509e9382a9794c2a56b3f34179655d08, timestamp: 2025-12-04T23:32:04Z, total_received: 0, total_sent: 59969279000, fee: 0, unlock_time: 0, height: 3558462, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: 344714ae2f4a2ff744788907a576b449bb8683a54b42dd163903152234e617dc, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 6, hash: 550d5da2f62b22a01e6b2cd73309390f3aeb300544e7419e130cc4070cb1983e, timestamp: 2025-12-05T06:06:46Z, total_received: 0, total_sent: 59969279000, fee: 0, unlock_time: 0, height: 3558639, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: c9d7e35ebefa4ae3b91fe83d9ac6fa9e85d834a37ed5d12bbb3d5996aaa2501b, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 7, hash: b69f033cbe54a2282307c12d008dd684b329ed4bb5ba4a1bc745e01c9662e362, timestamp: 2025-12-05T06:58:04Z, total_received: 0, total_sent: 59969279000, fee: 0, unlock_time: 0, height: 3558672, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: 207a5b5c4cd04c08633e9b7938d6b58be21ceea21a4c2ec974dbd496110aee0d, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 8, hash: b13f8831beeed59632630cf64eb479aea90324331bf5f1cb8b1d400ea970061f, timestamp: 2025-12-05T09:19:18Z, total_received: 0, total_sent: 59969279000, fee: 0, unlock_time: 0, height: 3558740, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: f70add8c0c944b08f7d368810ba4ee5bbc1a732390c014cf9ca5169c761f216a, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 9, hash: 636f041ac84de32dde4388c19481ec3d3b5b7a2fff2c4ef149595578955b299a, timestamp: 2025-12-05T14:10:30Z, total_received: 0, total_sent: 59969279000, fee: 0, unlock_time: 0, height: 3558901, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: 1d1ef938cadfb6e174dfdd7c1a2bb38f0f60d7d17c772ccfecc7bcb677a99bc5, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 10, hash: 6c2a5c916c7149aad34d001d9bcbe7a5b314ccfed764e6c7a6fea2aa4126583a, timestamp: 2025-12-05T17:04:03Z, total_received: 0, total_sent: 59969279000, fee: 0, unlock_time: 0, height: 3558987, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: b8354bf4a5718c2a1d3b35ea81832c01db245b30b028886af88d645e5bd3df59, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 11, hash: 2cf07fa38ed1f3c89fd11d70cf0481efca3ae1a63dfcfbe4893b6f6bd5852e44, timestamp: 2025-12-05T19:19:46Z, total_received: 0, total_sent: 59969279000, fee: 0, unlock_time: 0, height: 3559064, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: 1823ffc2e407b8afe5f0005ec29b22f957961c6ea593ef940fd0e84361732f50, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 12, hash: 91ef399d430ec45857fd6773a25ae22d2f1404bfa015dc55bba02e2619cd5622, timestamp: 2025-12-05T19:50:02Z, total_received: 0, total_sent: 59969279000, fee: 0, unlock_time: 0, height: 3559079, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: b6d72615d38f5a2f88977746ff4d7594a8442aa9758bd491a59fa41b128bd4ef, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 13, hash: 91e907df92bc715aac24419527fd471d4af219078a40394646d498b9cb66728d, timestamp: 2025-12-06T03:15:48Z, total_received: 0, total_sent: 59969279000, fee: 0, unlock_time: 0, height: 3559278, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: 78b824239bb6e7d797e8a612744c558f16ef3500f78cbc0b6e09b24e6f684341, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 14, hash: 671c4788050f9438286d0b4e7f42ee516e5b2d41573ef1d26f054836174c1da4, timestamp: 2025-12-06T16:08:46Z, total_received: 0, total_sent: 59969279000, fee: 0, unlock_time: 0, height: 3559683, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: cec741e69aba9203cd075c0377f767940270dc3570df4cd6fc003f424c4e16c2, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 15, hash: 31adc1767d8b35d5f7d485dbf12f499ebc1045c4624e33c709746797ae4275e2, timestamp: 2025-12-08T11:31:48Z, total_received: 57275148498, total_sent: 59969279000, fee: 30660000, unlock_time: 0, height: 3560968, payment_id: 3c9c36161a897776, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: 7420f7d62bd416dbee2120d0b55529408b666e6d2114f62388a44b4f2b064495, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 16, hash: cd0e8096f5c02354afeadb6be896a2184ee6485568f76b108b86d31da52cc4f7, timestamp: 2025-12-08T11:57:38Z, total_received: 0, total_sent: 57275148498, fee: 0, unlock_time: 0, height: 3560982, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 57275148498, key_image: 235ee20bf3ae9bf9f6c3c21a3de01d3daf079a3233c42ab371d5ec161b3dad77, tx_pub_key: e2d19198dd45136c185f22dad6060a29f75d5f638f234239d061343e8a6ee539, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 17, hash: 24ddf72bcd985ab413e2309bec1eb2e0030b34491a335475affa6f253dbf3612, timestamp: 2025-12-08T12:00:16Z, total_received: 0, total_sent: 57275148498, fee: 0, unlock_time: 0, height: 3560984, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 57275148498, key_image: 8ea76a9caa57a9c7e43971d8c171a65ec2ca234674b72cfe0aefed885fd21a3c, tx_pub_key: e2d19198dd45136c185f22dad6060a29f75d5f638f234239d061343e8a6ee539, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 21, hash: 7e22253eb110da8533759f150cecdc364d19d4f6a90202f8383dd4c51b6dd6d2, timestamp: 2025-12-08T17:01:40Z, total_received: 0, total_sent: 57275148498, fee: 0, unlock_time: 0, height: 3561153, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 57275148498, key_image: 768dd4192f4133afc61ae81995fc9ef23166a1f1a8470ab3b623638d27611d76, tx_pub_key: e2d19198dd45136c185f22dad6060a29f75d5f638f234239d061343e8a6ee539, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 22, hash: 32e555b8a568d6fae3f0cd059b614e5b149f24025a12b63e5ef1b61224af53a2, timestamp: 2025-12-08T20:31:04Z, total_received: 0, total_sent: 57275148498, fee: 0, unlock_time: 0, height: 3561252, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 57275148498, key_image: 153611121a1e3a923edcab4233d67d75d376bd5ee707cfdadef6d623bd157676, tx_pub_key: e2d19198dd45136c185f22dad6060a29f75d5f638f234239d061343e8a6ee539, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 23, hash: a68028a10151f5960e1a1dbab992ccc274c8a748c4728fb8b70730a606b2df6f, timestamp: 2025-12-09T00:09:50Z, total_received: 0, total_sent: 57275148498, fee: 0, unlock_time: 0, height: 3561365, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 57275148498, key_image: 4033855832dcf83e0cdb973591f3aa2a04cf81deb528862ea4fc99bbc0f04ea3, tx_pub_key: e2d19198dd45136c185f22dad6060a29f75d5f638f234239d061343e8a6ee539, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 24, hash: 4f2a646ca98c2d3516472927c6d3acf0c2a4f94e56c225d45d39081a39dc383e, timestamp: 2025-12-09T15:43:55Z, total_received: 0, total_sent: 57275148498, fee: 0, unlock_time: 0, height: 3561798, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 57275148498, key_image: 72a531eb2bcbe5d1f608f37206e84eb7deca57a0842e9d5a61463720d9c1db74, tx_pub_key: e2d19198dd45136c185f22dad6060a29f75d5f638f234239d061343e8a6ee539, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
I/flutter (24403): {id: 25, hash: f64095c76af421f2704fa3e3ab27984a825be0e84010c2637f2f15932ed3b14d, timestamp: 2025-12-09T16:43:18Z, total_received: 0, total_sent: 59969279000, fee: 0, unlock_time: 0, height: 3561829, coinbase: false, mempool: false, mixin: 15, recipient: {maj_i: 0, min_i: 0}, spent_outputs: [{amount: 59969279000, key_image: 17447b4151c58fa8fcfc59d736b611cc748644b5b55b70e523b42e8e6e39dc1f, tx_pub_key: ecc2f54b93d4363e6ff17def4d7cd863a568a9e270117ff4fb0540db1ccb5f51, out_index: 1, mixin: 15, sender: {maj_i: 0, min_i: 0}}]}
